name,Zip code,Number of reviewers,Overall score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,good Fitness Center,Daily Housekeeping,Heating,Free Parking,Airport Shuttle (free),Private Parking,Spa,On-site Parking,Fitness Center,Room Service,Family Rooms,Parking,Airport Shuttle,Air Conditioning,Free WiFi.1,Laundry,Water Park,Pet Friendly,Outdoor Pool,Indoor Pool,Elevator,Garden,Facilities for Disabled Guests,Bar,Beach nearby,wonderful Fitness Center,Beachfront,Non-smoking Rooms,Terrace,Swimming Pool,very good Fitness Center,Restaurant,Private Beach Area,exceptional Fitness Center,24-Hour Front Desk,WiFi,BBQ Facilities,Dist
Vintage Modern Lofts of Downtown LA-3,90014,76.0,5.0,5.0,4.0,6.0,6.0,9.0,2.0,3.0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(0.9 miles from center)
LEVEL Furnished Living Suites Downtown Los Angeles,90015,390.0,9.0,9.3,9.3,9.3,9.1,8.1,9.5,9.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(1 miles from center)
DTLA Convention Center Marvelous Suite,90015,88.0,5.0,10.0,8.0,1.0,7.0,7.0,7.0,8.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.7 miles from center)
Hotel Figueroa Downtown Los Angeles,90015,155.0,8.9,9.2,9.0,8.7,9.2,8.1,9.0,9.1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.3 miles from center)
DTLA Convention Center Suite,90015,31.0,8.9,9.0,9.4,9.0,9.0,8.2,10.0,8.6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.7 miles from center)
DTLA Convention Center Deluxe Suite,90015,76.0,1.0,10.0,7.0,3.0,10.0,9.0,3.0,2.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.6 miles from center)
DTLA Convention Center Upscale Apartment,90015,44.0,5.0,3.0,6.0,6.0,7.0,10.0,9.0,5.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.7 miles from center)
Downtown Luxurious Oasis,90015,81.0,4.0,1.0,10.0,6.0,3.0,7.0,4.0,2.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,(1.5 miles from center)
Ace Hotel Downtown Los Angeles,90015,917.0,8.2,8.7,8.2,8.3,8.7,7.2,8.7,8.3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.1 miles from center)
Luxe City Center Hotel,90015,,8.4,8.8,8.5,8.2,8.5,7.4,8.4,8.9,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,(1.3 miles from center)
